efficiency_category,has_balcony,has_elevator,has_garage,property_state,building_type,area,prague_district,rooms,floor,price
Třída G,True,True,False,Velmi dobrý,Cihlová,200,5005.0,6 a vice,5,75000.0
Třída G,True,True,False,Velmi dobrý,Cihlová,105,5002.0,3+1,3,43000.0
Třída G,False,True,False,Velmi dobrý,Cihlová,106,5001.0,3+1,2,42000.0
Třída G,False,True,True,Velmi dobrý,Cihlová,100,5005.0,4+kk,5,39000.0
Třída G,True,True,False,Velmi dobrý,Smíšená,174,5001.0,4+1,2,76000.0
Třída G,True,True,False,Velmi dobrý,Cihlová,117,5005.0,4+1,3,36400.0
Třída G,False,False,False,Po rekonstrukci,Cihlová,39,5010.0,2+kk,-1,14000.0
Třída C,True,False,False,Velmi dobrý,Cihlová,80,5008.0,2+1,1,16000.0
Třída G,True,True,True,Novostavba,Cihlová,71,5006.0,2+kk,3,21000.0
Other,False,True,False,Po rekonstrukci,Cihlová,18,5010.0,1+kk,1,12000.0
Other,False,True,False,Po rekonstrukci,Cihlová,43,5005.0,2+kk,3,15000.0
Třída G,False,True,True,Po rekonstrukci,Cihlová,84,5005.0,3+kk,2,20400.0
Třída C,False,True,True,Po rekonstrukci,Cihlová,119,5005.0,4+kk,6,39000.0
Třída G,True,True,False,Po rekonstrukci,Cihlová,111,5002.0,3+1,3,43000.0
Třída B,False,True,True,Po rekonstrukci,Cihlová,95,5002.0,2+1,4,24000.0
Třída G,False,True,False,Po rekonstrukci,Cihlová,70,5002.0,2+1,2,21000.0
Třída D,False,True,True,Novostavba,Cihlová,97,5006.0,3+kk,2,26000.0
Třída E,False,True,False,Other,Cihlová,49,5010.0,1+1,7,14500.0
Třída G,True,True,True,Novostavba,Cihlová,142,5007.0,5+kk,2,50000.0
Třída G,False,False,False,Velmi dobrý,Cihlová,80,5006.0,2+1,2,24500.0
Třída C,True,False,True,Velmi dobrý,Cihlová,47,5007.0,2+kk,2,20000.0
Třída G,False,False,False,Velmi dobrý,Panelová,75,5004.0,3+kk,2,22000.0
